RBC_V2.atomic.data

8346 atoms

7 atom types

-35 35 xlo xhi
-35 35 ylo yhi
-35 35 zlo zhi


Atoms

138 1    5.598    3.709   24.085 
139 1    5.003    4.476   24.093 
140 1    4.291    5.162   24.089 
141 1    3.497    5.729   24.090 
142 1    2.627    6.174   24.094 
143 1    1.705    6.489   24.093 
144 1    0.734    6.669   24.092 
145 1   -0.240    6.701   24.087 
146 1   -1.211    6.596   24.086 
147 1   -2.164    6.352   24.092 
148 1   -3.058    5.971   24.091 
149 1   -3.899    5.460   24.092 
150 1   -4.653    4.828   24.093 
151 1   -5.304    4.103   24.092 
152 1   -5.841    3.282   24.088 
153 1   -6.252    2.399   24.091 
154 1   -6.544    1.464   24.094 
155 1   -6.681    0.499   24.085 
156 1   -6.677   -0.489   24.086 
157 1   -6.539   -1.448   24.089 
158 1   -6.255   -2.393   24.091 
159 1   -5.839   -3.273   24.094 
160 1   -5.306   -4.095   24.094 
161 1   -4.650   -4.825   24.093 
162 1   -3.896   -5.447   24.087 
163 1   -3.056   -5.955   24.091 
164 1   -2.165   -6.339   24.090 
165 1   -1.217   -6.583   24.089 
166 1   -0.239   -6.691   24.093 
167 1    0.743   -6.663   24.087 
168 1    1.702   -6.477   24.086 
169 1    2.625   -6.164   24.091 
170 1    3.501   -5.714   24.093 
171 1    4.298   -5.149   24.085 
172 1    4.999   -4.470   24.094 
173 1    5.593   -3.691   24.088 
174 1    6.078   -2.845   24.085 
175 1    6.426   -1.927   24.092 
176 1    6.635   -0.968   24.088 
177 1    7.639    0.009   23.811 
178 1    7.571    0.980   23.808 
179 1    7.386    1.946   23.810 
180 1    7.078    2.865   23.815 
181 1    6.653    3.748   23.815 
182 1    6.121    4.575   23.815 
183 1    5.489    5.314   23.816 
184 1    4.761    5.973   23.814 
185 1    3.966    6.529   23.813 
186 1    3.090    6.981   23.807 
187 1    2.180    7.323   23.808 
188 1    1.228    7.544   23.814 
189 1    0.245    7.632   23.813 
190 1   -0.730    7.605   23.809 
191 1   -1.691    7.451   23.809 
192 1   -2.635    7.169   23.810 
193 1   -3.527    6.770   23.808 
194 1   -4.363    6.269   23.811 
195 1   -5.131    5.653   23.810 
196 1   -5.809    4.948   23.812 
197 1   -6.395    4.172   23.814 
198 1   -6.871    3.315   23.810 
199 1   -7.235    2.413   23.815 
200 1   -7.487    1.466   23.811 
201 1   -7.613    0.492   23.807 
202 1   -7.608   -0.481   23.812 
203 1   -7.488   -1.452   23.813 
204 1   -7.244   -2.396   23.811 
205 1   -6.871   -3.307   23.814 
206 1   -6.396   -4.162   23.815 
207 1   -5.804   -4.942   23.808 
208 1   -5.124   -5.647   23.814 
209 1   -4.367   -6.260   23.809 
210 1   -3.522   -6.759   23.815 
211 1   -2.633   -7.154   23.815 
212 1   -1.693   -7.436   23.809 
213 1   -0.727   -7.592   23.814 
214 1    0.250   -7.627   23.814 
215 1    1.226   -7.526   23.815 
216 1    2.181   -7.312   23.816 
217 1    3.097   -6.975   23.814 
218 1    3.965   -6.520   23.813 
219 1    4.762   -5.965   23.812 
220 1    5.487   -5.303   23.815 
221 1    6.126   -4.565   23.816 
222 1    6.658   -3.740   23.808 
223 1    7.084   -2.858   23.810 
224 1    7.387   -1.935   23.812 
225 1    7.573   -0.970   23.808 
226 1    8.560    0.008   23.499 
227 1    8.498    0.984   23.498 
228 1    8.331    1.940   23.502 
229 1    8.054    2.874   23.500 
230 1    7.682    3.776   23.496 
231 2    7.199    4.626   23.498 
232 1    6.621    5.419   23.501 
233 1    5.961    6.140   23.502 
234 1    5.229    6.777   23.500 
235 1    4.425    7.330   23.498 
236 1    3.561    7.780   23.494 
237 1    2.647    8.134   23.496 
238 1    1.704    8.387   23.497 
239 1    0.740    8.519   23.502 
240 2   -0.239    8.556   23.498 
241 1   -1.209    8.472   23.502 
