RBC_V2.atomic.data

21702 atoms
3202 bonds

7 atom types
3 bond types

-35 35 xlo xhi
-35 35 ylo yhi
-35 35 zlo zhi


Atoms

155 1   -6.677    0.495   24.086 
156 1   -6.686   -0.482   24.087 
157 1   -6.544   -1.455   24.085 
158 1   -6.254   -2.388   24.092 
159 1   -5.846   -3.272   24.091 
160 1   -5.303   -4.097   24.088 
161 1   -4.651   -4.820   24.092 
162 1   -3.891   -5.443   24.093 
163 1   -3.061   -5.961   24.093 
164 1   -2.165   -6.337   24.085 
165 1   -1.209   -6.592   24.085 
166 1   -0.244   -6.691   24.085 
167 1    0.739   -6.663   24.084 
168 1    1.705   -6.479   24.087 
169 1    2.628   -6.168   24.092 
170 1    3.500   -5.714   24.092 
171 1    4.290   -5.153   24.091 
172 1    4.995   -4.470   24.086 
173 1    5.593   -3.697   24.094 
174 1    6.078   -2.845   24.088 
175 1    6.427   -1.922   24.092 
176 1    6.635   -0.968   24.091 
177 1    7.634    0.005   23.813 
178 1    7.576    0.979   23.813 
179 1    7.388    1.946   23.808 
180 1    7.082    2.871   23.807 
181 1    6.660    3.753   23.810 
182 1    6.121    4.571   23.807 
183 1    5.489    5.312   23.809 
184 1    4.760    5.974   23.813 
185 1    3.958    6.533   23.813 
186 1    3.091    6.981   23.808 
187 1    2.181    7.322   23.814 
188 1    1.221    7.536   23.809 
189 1    0.250    7.634   23.808 
190 1   -0.731    7.600   23.816 
191 1   -1.692    7.442   23.816 
192 1   -2.631    7.164   23.806 
193 1   -3.530    6.776   23.815 
194 1   -4.362    6.264   23.808 
195 1   -5.123    5.656   23.807 
196 1   -5.809    4.957   23.806 
197 1   -6.388    4.165   23.812 
198 1   -6.872    3.313   23.814 
199 1   -7.242    2.406   23.813 
200 1   -7.486    1.465   23.807 
201 1   -7.615    0.490   23.814 
202 1   -7.617   -0.482   23.809 
203 1   -7.491   -1.458   23.806 
204 1   -7.239   -2.398   23.808 
205 1   -6.869   -3.311   23.814 
206 1   -6.394   -4.160   23.811 
207 1   -5.811   -4.944   23.811 
208 1   -5.125   -5.646   23.815 
209 1   -4.367   -6.257   23.814 
210 1   -3.529   -6.761   23.807 
211 1   -2.631   -7.157   23.812 
212 1   -1.697   -7.435   23.813 
213 1   -0.728   -7.588   23.813 
214 1    0.248   -7.627   23.806 
215 1    1.220   -7.529   23.807 
216 1    2.179   -7.308   23.815 
217 1    3.090   -6.978   23.811 
218 1    3.964   -6.526   23.816 
219 1    4.767   -5.958   23.809 
220 1    5.493   -5.305   23.813 
221 1    6.122   -4.559   23.808 
222 1    6.655   -3.737   23.809 
223 1    7.079   -2.857   23.808 
224 1    7.390   -1.936   23.809 
225 1    7.577   -0.968   23.808 
226 1    8.554    0.004   23.498 
227 1    8.498    0.984   23.493 
228 1    8.333    1.937   23.498 
229 1    8.056    2.880   23.495 
230 1    7.675    3.779   23.498 
231 2    7.193    4.630   23.501 
232 1    6.629    5.418   23.493 
233 1    5.960    6.133   23.498 
234 1    5.225    6.775   23.496 
235 1    4.418    7.331   23.498 
236 1    3.558    7.783   23.500 
237 1    2.645    8.138   23.493 
238 1    1.708    8.387   23.498 
239 1    0.736    8.520   23.500 
240 2   -0.237    8.556   23.497 
241 1   -1.211    8.470   23.497 
242 1   -2.171    8.271   23.493 
243 1   -3.094    7.971   23.494 
244 1   -3.983    7.571   23.494 
245 1   -4.818    7.059   23.496 
246 1   -5.598    6.467   23.495 
247 1   -6.295    5.792   23.499 
248 1   -6.914    5.027   23.501 
249 2   -7.440    4.212   23.501 
250 1   -7.871    3.330   23.494 
251 1   -8.195    2.414   23.501 
252 1   -8.422    1.468   23.499 
253 1   -8.527    0.498   23.497 
254 1   -8.533   -0.483   23.494 
255 1   -8.421   -1.455   23.501 
256 1   -8.202   -2.408   23.493 
257 1   -7.870   -3.324   23.500 
258 2   -7.444   -4.201   23.495 
259 1   -6.915   -5.018   23.497 
260 1   -6.293   -5.780   23.494 
261 1   -5.597   -6.461   23.496 
262 1   -4.822   -7.052   23.502 
263 1   -3.983   -7.559   23.492 
264 1   -3.100   -7.968   23.492 
265 1   -2.167   -8.265   23.493 
266 1   -1.216   -8.457   23.494 
267 2   -0.238   -8.538   23.495 
268 1    0.741   -8.514   23.495 
269 1    1.700   -8.375   23.501 
270 1    2.652   -8.126   23.500 
271 1    3.553   -7.774   23.496 
272 1    4.425   -7.318   23.495 
273 1    5.226   -6.767   23.493 
274 1    5.965   -6.124   23.498 
275 1    6.626   -5.409   23.501 
276 2    7.197   -4.616   23.499 
277 1    7.682   -3.771   23.502 
278 1    8.057   -2.867   23.497 
279 1    8.332   -1.930   23.494 
280 1    8.500   -0.969   23.496 
281 2    9.464    0.004   23.143 
282 1    9.408    0.975   23.145 
283 1    9.259    1.934   23.145 
284 1    9.012    2.881   23.149 
285 1    8.669    3.793   23.151 
286 1    8.229    4.663   23.150 
287 1    7.715    5.485   23.147 
288 1    7.102    6.249   23.151 
289 1    6.428    6.947   23.153 
290 1    5.680    7.570   23.145 
291 2    4.873    8.110   23.145 
292 1    4.013    8.568   23.147 
293 1    3.116    8.939   23.150 
294 1    2.178    9.210   23.153 
295 1    1.222    9.383   23.143 
296 1    0.253    9.453   23.144 
297 1   -0.728    9.434   23.149 
298 1   -1.690    9.309   23.146 
299 1   -2.634    9.081   23.147 
300 1   -3.559    8.766   23.143 
301 2   -4.441    8.354   23.152 
302 1   -5.277    7.849   23.149 
303 1   -6.047    7.270   23.151 
304 1   -6.768    6.599   23.152 
305 1   -7.405    5.869   23.149 
306 1   -7.976    5.083   23.148 
307 1   -8.452    4.234   23.148 
308 1   -8.844    3.337   23.149 
309 1   -9.138    2.409   23.151 
310 1   -9.342    1.465   23.145 
311 2   -9.437    0.494   23.145 
312 1   -9.437   -0.478   23.150 
313 1   -9.334   -1.455   23.144 
314 1   -9.135   -2.403   23.151 
315 1   -8.845   -3.326   23.147 
316 1   -8.452   -4.222   23.153 
317 1   -7.977   -5.068   23.153 
318 1   -7.410   -5.866   23.150 
319 1   -6.767   -6.593   23.152 
320 1   -6.047   -7.256   23.149 
321 1   -5.270   -7.835   23.151 
322 2   -4.434   -8.343   23.147 
323 1   -3.560   -8.755   23.147 
324 1   -2.641   -9.078   23.148 
325 1   -1.692   -9.294   23.145 
326 1   -0.729   -9.420   23.148 
327 1    0.252   -9.448   23.147 
