This File produces a vesicle with diameter =    50.000000

21702 atoms
3202 bonds
8346 ellipsoids

7 atom types
3 bond types

-35 35 xlo xhi
-35 35 ylo yhi
-35 35 zlo zhi


Atoms

32 1  -2.862421e+00 -4.766391e-01 2.483851e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
33 1  -2.549748e+00 -1.380748e+00 2.483297e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
34 1  -1.965228e+00 -2.129089e+00 2.483420e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
35 1  -1.164878e+00 -2.650879e+00 2.483693e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
36 1  -2.314373e-01 -2.889661e+00 2.484073e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
37 1  7.194264e-01 -2.809293e+00 2.483547e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
38 1  1.590591e+00 -2.426069e+00 2.483592e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
39 1  2.299843e+00 -1.781822e+00 2.484068e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
40 1  2.745411e+00 -9.416850e-01 2.483859e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
41 1  3.867357e+00 1.208896e-03 2.470954e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
42 1  3.745423e+00 9.674601e-01 2.470177e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
43 1  3.392801e+00 1.863189e+00 2.470006e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
44 1  2.823936e+00 2.646758e+00 2.470133e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
45 1  2.071751e+00 3.261700e+00 2.470694e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
46 1  1.198621e+00 3.681174e+00 2.470752e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
47 1  2.470137e-01 3.860957e+00 2.470620e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
48 1  -7.173852e-01 3.800066e+00 2.470313e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
49 1  -1.637679e+00 3.502742e+00 2.470629e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
50 1  -2.454803e+00 2.984716e+00 2.470020e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
51 1  -3.122448e+00 2.274531e+00 2.470842e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
52 1  -3.584901e+00 1.423413e+00 2.470078e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
53 1  -3.825958e+00 4.861159e-01 2.470922e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
54 1  -3.830883e+00 -4.769555e-01 2.470354e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
55 1  -3.590509e+00 -1.415358e+00 2.470109e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
56 1  -3.120225e+00 -2.269998e+00 2.470288e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
57 1  -2.452752e+00 -2.972627e+00 2.470873e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
58 1  -1.641369e+00 -3.490407e+00 2.470755e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
59 1  -7.179957e-01 -3.786804e+00 2.470168e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
60 1  2.447960e-01 -3.853869e+00 2.470149e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
61 1  1.201236e+00 -3.669047e+00 2.470868e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
62 1  2.072434e+00 -3.260895e+00 2.470745e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
63 1  2.821043e+00 -2.636510e+00 2.470767e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
64 1  3.392137e+00 -1.857063e+00 2.470188e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
65 1  3.750517e+00 -9.583199e-01 2.470168e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
66 2  4.827399e+00 8.056766e-04 2.453785e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
67 1  4.724658e+00 9.706074e-01 2.453250e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
68 1  4.428747e+00 1.909204e+00 2.453644e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
69 1  3.955772e+00 2.754307e+00 2.453823e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
70 1  3.321884e+00 3.501477e+00 2.453295e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
71 2  2.556853e+00 4.092001e+00 2.453512e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
72 1  1.675792e+00 4.527508e+00 2.453947e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
73 1  7.376926e-01 4.765681e+00 2.454048e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
74 1  -2.415826e-01 4.812257e+00 2.453299e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
75 1  -1.198303e+00 4.670133e+00 2.453876e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
76 2  -2.118234e+00 4.331005e+00 2.453694e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
77 1  -2.947042e+00 3.818869e+00 2.453326e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
78 1  -3.653039e+00 3.140199e+00 2.453828e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
79 1  -4.206272e+00 2.345968e+00 2.453438e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
80 1  -4.592125e+00 1.445751e+00 2.453771e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
81 2  -4.789571e+00 4.971309e-01 2.453374e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
82 1  -4.784780e+00 -4.790489e-01 2.453628e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
83 1  -4.591006e+00 -1.435156e+00 2.453897e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
84 1  -4.206936e+00 -2.335942e+00 2.453758e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
